Articles				
				
Title	Date	Authors	Abstract (Excerpt)	Link ( Read Article )
Investigating the effects of teachers' self-leadership on their professional development and change	May-23	Reza Khany, Mahdieh Fakhar Shahreza	The paper investigates the relationship between EFL teachers' self-leadership and their professional development and change, using Structural Equation Modeling (SEM) for data analysis.	https://www.researchgate.net/publication/370591582_Investigating_the_effects_of_teachers'_self-leadership_on_their_professional_development_and_change?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
Investigating the Impacts of an Online Writing Platform on EFL Students' Writing and Critical Thinking Skills; The Case of Medium App	Sep-22	Reza Khany, Mahdieh Fakhar Shahreza	This study examines the impact of the Medium app as an online writing platform on EFL students' writing and critical thinking skills, highlighting the benefits of learner-contributed approaches.	https://www.researchgate.net/publication/370591344_Investigating_the_Impacts_of_an_Online_Writing_Platform_on_EFLStudents'_Writing_and_Critical_Thinking_Skills_The_Case_of_Medium_App?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
Iranian University Students’ Familiarity with Digital Portfolio Creation Tools during the COVID-19 Pandemic: Merits, Demerits	May-21	Mohammad Aliakbari, Mahdieh Fakhar Shahreza	The research explores Iranian university students' familiarity with digital portfolio tools during the COVID-19 pandemic, discussing the advantages and challenges encountered.	https://www.researchgate.net/publication/370591287_Iranian_University_Students'_Familiarity_with_Digital_Portfolio_Creation_Tools_during_the_COVID-19_Pandemic_Merits_Demerits?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
Research on Educational Technology Evaluation in Journal of Computer and Education; Implications for English Language Teaching	Nov-19	Reza Khany, Mahdieh Fakhar Shahreza	This study reviews research articles on educational technology evaluation published in the Journal of Computer & Education, discussing their implications for English Language Teaching (ELT).	https://www.researchgate.net/publication/370591346_Research_on_Educational_Technology_Evaluation_in_Journal_of_Computer_and_Education_Implications_for_English_Language_Teaching?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
Subjectivity and Objectivity in Discussion Sections of Iranian M.A. Thesis and Ph.D. Dissertations; the Case of Hard and Soft Science Fields of Studies	Oct-19	Reza Khany, Mahdieh Fakhar Shahreza	The paper analyzes how subjectivity and objectivity are structured in the discussion sections of Iranian M.A. theses and Ph.D. dissertations across hard and soft science fields.	https://www.researchgate.net/publication/370591526_Subjectivity_and_Objectivity_in_Discussion_Sections_of_Iranian_MA_Thesis_and_PhD_Dissertations_the_Case_of_Hard_and_Soft_Science_Fields_of_Studies?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
An Exploration of Iranian EFL Stakeholders’ Attitudes and Knowledge of Different	Sep-19	Reza Khany, Mahdieh Fakhar Shahreza	This study explores Iranian EFL stakeholders' attitudes and knowledge regarding different types of massive open online courses (MOOCs), identifying challenges and concerns in integrating these technologies.	https://www.researchgate.net/publication/370591431_An_Exploration_of_Iranian_EFL_Stakeholders'_Attitudes_and_Knowledge_of_Different?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
An Ecological Exploration of Iranian EFL Students’ Self-change, Self-construal, and Change Management through Classroom Communication Tasks	May-18	Reza Khany, Mahdieh Fakhar Shahreza	The research investigates factors affecting Iranian EFL students' self-change, self-construal, and change management through classroom communication tasks, employing qualitative methods.	https://www.researchgate.net/publication/370591641_An_Ecological_Exploration_of_Iranian_EFL_Students'_Self-change_Self-construal_and_Change_Management_through_Classroom_Communication_Tasks?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
Paralogism, ambiguity, and circumlocution: do compensation strategies help?	May-17	Reza Khany, Mahdieh Fakhar Shahreza	This study examines the use of compensation strategies like paralogism, ambiguity, and circumlocution in spoken language, assessing their effectiveness in communication.	https://www.researchgate.net/publication/370591594_Paralogism_ambiguity_and_circumlocution_do_compensation_strategies_help?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
Iranian EFL students' pragmatic self-assessment revisited	May-16	Reza Khany, Mahdieh Fakhar Shahreza	The paper revisits the concept of pragmatic self-assessment among Iranian EFL students, exploring its impact on language learning and autonomy.	https://www.researchgate.net/publication/370591486_Iranian_EFL_students''_pragmatic_self-assessment_revisited?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
The equation of critical thinking skills, professional identity and professional development in Iranian EFL teaching context	May-16	Reza Khany, Mahdieh Fakhar Shahreza	This study investigates the relationship between critical thinking skills, professional identity, and professional development among Iranian EFL teachers.	https://www.researchgate.net/publication/370591488_The_equation_of_critical_thinking_skills_professional_identity_and_professional_development_in_Iranian_EFL_teaching_context?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
Language learning through WhatsApp or telegram, which court is the ball in?	May-16	Mohammad Aliakbari, Mahdieh Fakhar Shahreza	The research compares the effectiveness of WhatsApp and Telegram as platforms for language learning, analyzing their impact on EFL learners' engagement and performance.	https://www.researchgate.net/publication/370591600_Language_learning_through_WhatsApp_or_telegram_which_court_is_the_ball_in?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
Professional change, professional identity, and professional development of Iranian beginner vs. experienced teachers	May-15	Reza Khany, Mahdieh Fakhar Shahreza	This study investigates the differences in professional change, identity, and development between beginner and experienced Iranian teachers.	https://www.researchgate.net/publication/370591489_Professional_change_professional_identity_and_professional_development_of_Iranian_beginner_vs_experienced_teachers?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InByb2ZpbGUifX0
